                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.61654,                 1.3326,                0.67385,                 1.0912,                0.99286,                0.97222,                0.97219,                0.87367,                0.99286,                0.97222,                0.97219,                0.85052,                0.41009,                0.50039,                0.38331,                0.97801,             0.00036965,             0.00036965,             0.00036965
                     81,                 0.5532,                 1.2572,                0.61146,                 1.0518,                0.99484,                0.97222,                 0.9731,                 0.8978,                0.99484,                0.97222,                 0.9731,                0.84854,                0.43381,                0.50641,                0.37473,                0.97848,               0.000368,               0.000368,               0.000368
                     82,                0.61589,                 1.4442,                0.66505,                  1.092,                0.99461,                0.97222,                0.97376,                0.88789,                0.99461,                0.97222,                0.97376,                0.85194,                 0.4317,                0.51527,                0.38052,                0.97974,             0.00036635,             0.00036635,             0.00036635
                     83,                0.62256,                 1.3837,                0.63632,                 1.0773,                0.99389,                0.97222,                0.97294,                0.87228,                0.99389,                0.97222,                0.97294,                 0.8615,                0.43449,                0.54115,                0.38267,                0.98492,              0.0003647,              0.0003647,              0.0003647
                     84,                0.55847,                 1.3251,                0.56621,                 1.0393,                0.99279,                0.97222,                0.97389,                0.86606,                0.99279,                0.97222,                0.97389,                0.83379,                0.41558,                0.67492,                 0.3813,                0.97316,             0.00036305,             0.00036305,             0.00036305
                     85,                0.58485,                 1.5782,                0.64847,                 1.0507,                0.98489,                0.97222,                0.97364,                0.85111,                0.98489,                0.97222,                0.97364,                0.78818,                 0.4448,                0.89428,                0.47161,                0.99673,              0.0003614,              0.0003614,              0.0003614
                     86,                0.58642,                 1.3179,                0.61083,                  1.021,                0.93973,                0.97222,                0.97176,                 0.8385,                0.93973,                0.97222,                0.97176,                0.80019,                0.45209,                0.77936,                0.47388,                 1.0471,             0.00035975,             0.00035975,             0.00035975
                     87,                0.61239,                 1.4438,                0.66203,                 1.1023,                0.99256,                0.97222,                0.97302,                0.81706,                0.99256,                0.97222,                0.97302,                0.79722,                0.52479,                0.61628,                0.47333,                 1.0757,              0.0003581,              0.0003581,              0.0003581
                     88,                 0.5818,                 1.2898,                0.55075,                 1.0642,                0.99333,                0.97222,                0.97338,                0.80479,                0.99333,                0.97222,                0.97338,                0.83688,                0.53132,                0.50592,                0.43002,                 1.0602,             0.00035645,             0.00035645,             0.00035645
                     89,                 0.5687,                 1.3365,                0.59067,                 1.0433,                0.99065,                0.97222,                0.97534,                0.81145,                0.99065,                0.97222,                0.97534,                 0.8551,                0.46861,                0.48776,                0.43093,                 1.0366,              0.0003548,              0.0003548,              0.0003548
                     90,                0.53931,                 1.4504,                0.62084,                  1.029,                0.98753,                0.97222,                0.97717,                  0.808,                0.98753,                0.97222,                0.97717,                 0.8504,                0.50734,                0.50359,                0.43838,                 1.0719,             0.00035315,             0.00035315,             0.00035315
                     91,                0.58892,                 1.5697,                0.62618,                 1.0548,                 0.9333,                0.97222,                0.96867,                0.79414,                 0.9333,                0.97222,                0.96867,                0.84506,                0.51276,                 0.7337,                 0.4124,                 1.0493,              0.0003515,              0.0003515,              0.0003515
                     92,                0.64376,                 1.4774,                0.70782,                  1.115,                0.99428,                0.97222,                0.97425,                0.84769,                0.99428,                0.97222,                0.97425,                0.84987,                0.48018,                0.69249,                 0.3992,                 1.0051,             0.00034985,             0.00034985,             0.00034985
                     93,                0.56881,                 1.6301,                 0.6445,                 1.0495,                0.99537,                 0.9675,                0.97383,                0.83083,                0.99537,                 0.9675,                0.97383,                0.84731,                0.45039,                0.58794,                0.39157,                0.98605,              0.0003482,              0.0003482,              0.0003482
                     94,                0.51603,                 1.2202,                0.59814,                 1.0082,                0.99274,                0.97222,                0.97478,                 0.8357,                0.99274,                0.97222,                0.97478,                0.84897,                0.43195,                0.56047,                0.38797,                0.98028,             0.00034655,             0.00034655,             0.00034655
                     95,                0.57712,                 1.3136,                0.57038,                 1.0578,                0.98787,                0.97222,                0.97258,                0.85554,                0.98787,                0.97222,                0.97258,                0.85641,                0.41985,                0.54929,                0.37631,                0.98632,              0.0003449,              0.0003449,              0.0003449
                     96,                0.56188,                 1.3906,                0.57044,                 1.0528,                 0.9844,                0.97222,                0.97213,                0.85301,                 0.9844,                0.97222,                0.97213,                0.85859,                0.42124,                0.55893,                 0.4085,                0.98662,             0.00034325,             0.00034325,             0.00034325
                     97,                0.55399,                   1.18,                0.54929,                 1.0571,                0.98959,                0.97222,                 0.9728,                0.86612,                0.98959,                0.97222,                 0.9728,                0.85934,                0.41929,                0.52972,                0.38125,                 1.0047,              0.0003416,              0.0003416,              0.0003416
                     98,                0.59311,                 1.4463,                  0.557,                 1.0788,                0.99203,                0.97222,                0.97376,                0.88513,                0.99203,                0.97222,                0.97376,                0.85978,                 0.4964,                0.57851,                0.38988,                  1.065,             0.00033995,             0.00033995,             0.00033995
                     99,                0.56836,                 1.5514,                0.58419,                 1.0404,                0.99284,                0.97222,                0.97499,                0.86907,                0.99284,                0.97222,                0.97499,                0.86065,                0.55582,                0.52819,                0.44067,                 1.0954,              0.0003383,              0.0003383,              0.0003383
                    100,                0.58672,                 1.3613,                0.62895,                 1.0553,                0.99277,                0.97222,                0.97343,                0.86175,                0.99277,                0.97222,                0.97343,                 0.8496,                 0.5487,                0.54316,                0.41498,                 1.0717,             0.00033665,             0.00033665,             0.00033665
                    101,                0.59832,                 1.2977,                0.58843,                 1.0745,                0.98331,                0.97222,                 0.9737,                0.86912,                0.98331,                0.97222,                 0.9737,                0.84419,                0.48039,                0.59894,                0.36332,                 1.0329,               0.000335,               0.000335,               0.000335
                    102,                0.58676,                 1.2518,                0.55179,                 1.0766,                0.99473,                0.97222,                0.97314,                0.89125,                0.99473,                0.97222,                0.97314,                0.85262,                0.44067,                0.55848,                0.37309,                0.99499,             0.00033335,             0.00033335,             0.00033335
                    103,                0.55602,                 1.5278,                0.54454,                  1.061,                0.99197,                0.97222,                0.97338,                0.85826,                0.99197,                0.97222,                0.97338,                0.85085,                0.42787,                 0.5826,                0.40882,                0.97076,              0.0003317,              0.0003317,              0.0003317
                    104,                0.57604,                 1.3242,                0.57426,                 1.0685,                0.99114,                0.97222,                0.97376,                0.85416,                0.99114,                0.97222,                0.97376,                 0.8587,                 0.4008,                0.55855,                0.38741,                0.95954,             0.00033005,             0.00033005,             0.00033005
